emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,physics_step,2,233930.00,233930,233930,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,render_begin,2,528.00,528,528,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,render_canvas,2,322904.00,322904,322904,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,render_end,2,34.00,34,34,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,render_frame,2,323560.00,323560,323560,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,timer_read_overhead_ticks,2,13.00,13,13,0.00,0.000000,0,1,00000000,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,touch_create_and_drag,2,7086.00,7086,7086,0.00,0.000000,0,1,d8635f64,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,frame_total,2,556607.00,556607,556607,0.00,0.000000,456,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,hit_test,2,1778.00,1778,1778,0.00,0.000000,0,1,d82df0ac,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,physics_step,2,236696.00,236696,236696,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast-nolto,bench-nds-hw-thumb-fast-nolto,render_begin,2,529.00,529,529,0.00,0.000000,0,1,8c4d9050,124
