emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
desmume,ds-arm,bench-nds-hw-arm,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,frame_total,2,556702.00,556702,556702,0.00,0.000000,456,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,hit_test,2,1901.00,1901,1901,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-arm,bench-nds-hw-arm,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-arm,bench-nds-hw-arm,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
desmume,ds-arm,bench-nds-hw-arm,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,physics_step,2,218894.00,218894,218894,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,render_begin,2,986.00,986,986,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,render_canvas,2,335775.00,335775,335775,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,render_end,2,130.00,130,130,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,render_frame,2,337232.00,337232,337232,0.00,0.000000,0,1,8c4d9050,124
desmume,ds-arm,bench-nds-hw-arm,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
desmume,ds-arm,bench-nds-hw-arm,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
desmume,ds-arm,bench-nds-hw-arm,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
desmume,ds-arm,bench-nds-hw-arm,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
